,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
0,1.0,Stanford University,Suburb: Large,Far West,Private not-for-profit independent,5.0,1697.0,3.9,735.0,760.0
1,2.0,Massachusetts Institute Of Technology,City: Midsize,New England,Private not-for-profit independent,3.0,1114.0,4.0,745.0,790.0
2,3.0,Columbia University In The City Of New York,City: Large,Mid East,Private not-for-profit independent,6.0,1447.0,,735.0,770.0
3,4.0,University Of Pennsylvania,City: Large,Mid East,Private not-for-profit independent,6.0,2518.0,3.9,725.0,760.0
4,5.0,Yale University,City: Midsize,New England,Private not-for-profit independent,6.0,1573.0,,745.0,770.0
5,6.0,Harvard University,City: Midsize,New England,Private not-for-profit independent,7.0,1653.0,,750.0,770.0
6,7.0,Duke University,City: Large,Southeast,Private not-for-profit religious,6.0,1745.0,,740.0,770.0
7,8.0,Princeton University,Suburb: Large,Mid East,Private not-for-profit independent,5.0,1339.0,3.9,740.0,765.0
8,9.0,Cornell University,City: Small,Mid East,Private not-for-profit independent,9.0,3295.0,,715.0,750.0
9,10.0,California Institute Of Technology,City: Midsize,Far West,Private not-for-profit independent,3.0,231.0,4.0,760.0,795.0
10,11.0,Johns Hopkins University,City: Large,Mid East,Private not-for-profit independent,7.0,1413.0,3.9,735.0,770.0
11,11.0,Washington University In St Louis,Suburb: Large,Plains,Private not-for-profit independent,7.0,1785.0,4.0,740.0,780.0
12,13.0,Northwestern University,City: Small,Great Lakes,Private not-for-profit independent,6.0,1931.0,4.0,730.0,760.0
13,13.0,University Of Chicago,City: Large,Great Lakes,Private not-for-profit independent,5.0,1805.0,,745.0,775.0
14,15.0,University Of Southern California,City: Large,Far West,Private not-for-profit independent,9.0,3401.0,3.8,700.0,740.0
15,16.0,Dartmouth College,Town: Remote,New England,Private not-for-profit independent,7.0,1167.0,4.0,735.0,755.0
16,17.0,Emory University,City: Large,Southeast,Private not-for-profit religious,9.0,1429.0,3.8,695.0,740.0
17,18.0,Rice University,City: Large,Southwest,Private not-for-profit independent,6.0,960.0,4.0,730.0,775.0
18,19.0,Carnegie Mellon University,City: Large,Mid East,Private not-for-profit independent,10.0,1572.0,3.8,725.0,775.0
19,20.0,Brown University,City: Midsize,New England,Private not-for-profit independent,6.0,1656.0,4.0,730.0,755.0
20,21.0,Vanderbilt University,City: Large,Southeast,Private not-for-profit independent,7.0,1601.0,3.8,730.0,775.0
21,22.0,Williams College,Town: Fringe,New England,Private not-for-profit independent,6.0,533.0,4.0,735.0,745.0
22,23.0,Amherst College,Suburb: Large,New England,Private not-for-profit independent,7.0,492.0,4.0,705.0,725.0
23,24.0,University Of Michigan-Ann Arbor,City: Midsize,Great Lakes,Public,11.0,6664.0,3.9,695.0,725.0
24,25.0,University Of Notre Dame,Suburb: Large,Great Lakes,Private not-for-profit religious,10.0,2070.0,4.0,725.0,750.0
25,27.0,Tufts University,Suburb: Large,New England,Private not-for-profit independent,9.0,1484.0,4.0,715.0,740.0
26,28.0,Pomona College,Suburb: Large,Far West,Private not-for-profit independent,7.0,412.0,4.0,730.0,740.0
27,29.0,Georgetown University,City: Large,Mid East,Private not-for-profit religious,11.0,1618.0,4.0,715.0,735.0
28,30.0,University Of North Carolina At Chapel Hill,City: Small,Southeast,Public,13.0,4318.0,4.0,675.0,700.0
29,30.0,Wellesley College,Suburb: Large,New England,Private not-for-profit independent,8.0,614.0,4.0,705.0,720.0
30,32.0,Case Western Reserve University,City: Large,Great Lakes,Private not-for-profit independent,11.0,1393.0,4.0,690.0,745.0
31,33.0,New York University,City: Large,Mid East,Private not-for-profit independent,9.0,6160.0,3.6,685.0,725.0
32,34.0,Swarthmore College,Suburb: Large,Mid East,Private not-for-profit independent,8.0,414.0,4.0,720.0,745.0
33,35.0,Smith College,Suburb: Large,New England,Private not-for-profit independent,9.0,613.0,3.8,,
34,36.0,Middlebury College,Town: Distant,New England,Private not-for-profit independent,8.0,628.0,4.0,695.0,720.0
35,37.0,University Of Miami,Suburb: Large,Southeast,Private not-for-profit independent,12.0,2342.0,3.6,655.0,685.0
36,37.0,Carleton College,Town: Distant,Plains,Private not-for-profit independent,9.0,529.0,4.0,710.0,730.0
37,37.0,Haverford College,Suburb: Large,Mid East,Private not-for-profit independent,8.0,357.0,4.0,715.0,735.0
38,42.0,Boston University,City: Large,New England,Private not-for-profit independent,10.0,3611.0,3.7,685.0,730.0
39,44.0,Bowdoin College,Town: Fringe,New England,Private not-for-profit independent,9.0,510.0,3.9,,
40,45.0,Wesleyan University,City: Small,New England,Private not-for-profit independent,8.0,803.0,3.9,,
41,46.0,Claremont Mckenna College,Suburb: Large,Far West,Private not-for-profit independent,8.0,324.0,,700.0,725.0
42,47.0,Bryn Mawr College,Suburb: Large,Mid East,Private not-for-profit independent,9.0,391.0,,,
